YEAR,DOY,T2M,T2M_MAX,T2M_MIN,T2M_RANGE,PRECTOTCORR,RH2M,WS2M,WS2M_MAX,PS,QV2M
2015,130,16.4,19.89,14.28,5.61,7.2,82.51,1.4,2.75,77.02,12.36
2015,131,17.51,25.65,12.81,12.84,2.37,71.76,1.98,4.41,77.11,10.9
2015,132,18.41,26.78,11.36,15.42,0.55,65.07,2.79,5.22,77.16,10.28
2015,133,19.02,28.59,10.82,17.77,0.01,57.26,3.16,6.39,77.1,8.8
2015,134,18.81,26.04,12.5,13.54,0.63,63.07,2.92,5.41,77.11,10.44
2015,135,19.19,27.88,12.04,15.84,0.09,63.23,3.32,6.07,77.1,10.52
2015,136,18.69,26.92,12.97,13.95,0.0,65.33,3.32,5.7,77.08,10.53
2015,137,19.09,28.44,11.03,17.41,0.0,56.93,2.61,4.31,77.01,8.86
2015,138,19.79,28.92,12.01,16.91,0.0,46.98,2.45,4.14,77.03,7.67
2015,139,19.12,28.22,11.22,17.0,0.0,46.08,3.12,5.94,77.06,7.63
2015,140,19.65,28.71,12.88,15.83,0.0,47.86,2.8,5.73,77.12,7.8
2015,141,20.18,30.0,12.15,17.85,0.03,43.04,2.86,5.47,77.1,7.32
2015,142,19.72,27.68,13.22,14.46,3.45,54.49,2.24,4.18,77.07,9.6
2015,143,19.11,26.44,13.2,13.24,7.54,63.62,1.12,2.6,77.05,10.7
2015,144,19.96,28.35,13.99,14.36,4.96,60.37,1.77,3.91,77.0,10.47
2015,145,18.45,24.94,14.15,10.79,29.07,68.37,1.52,3.07,77.06,11.33
2015,146,17.6,23.52,13.22,10.3,34.38,75.91,1.66,3.53,77.07,11.89
2015,147,17.25,23.63,11.87,11.76,1.52,76.06,1.8,3.13,77.05,11.62
2015,148,15.62,19.25,12.41,6.84,6.77,81.12,1.35,2.32,77.05,11.53
2015,149,16.1,22.39,11.05,11.34,1.39,73.7,1.59,3.73,77.02,10.57
2015,150,17.55,25.72,11.87,13.85,0.9,68.27,2.32,4.72,77.07,10.17
2015,151,17.75,25.85,11.85,14.0,0.88,67.81,2.14,4.25,77.01,10.27
2015,152,17.6,25.81,11.44,14.37,0.93,69.18,1.75,3.17,76.91,10.62
2015,153,16.06,21.22,11.31,9.91,4.55,75.25,2.11,4.51,76.98,10.79
2015,154,17.01,26.16,9.22,16.94,0.0,58.27,2.87,5.57,77.02,8.06
2015,155,18.08,27.0,10.12,16.88,0.03,54.25,2.87,5.48,76.97,8.29
2015,156,18.25,26.02,11.92,14.1,0.14,57.62,2.73,5.48,76.95,9.1
2015,157,18.46,26.9,12.1,14.8,0.1,55.26,2.79,5.88,77.01,8.66
2015,158,18.19,25.16,12.28,12.88,1.44,61.06,2.13,4.19,77.02,9.8
2015,159,17.95,24.52,12.4,12.12,0.41,62.33,2.11,3.93,76.98,9.88
2015,160,17.83,25.15,11.19,13.96,3.35,65.71,1.59,3.48,77.02,10.26
2015,161,18.45,26.15,12.34,13.81,3.08,62.93,1.71,3.5,76.98,10.11
2015,162,18.73,26.61,11.45,15.16,2.77,60.72,1.64,3.44,76.97,9.69
2015,163,18.75,26.52,13.02,13.5,2.97,64.08,1.65,3.0,76.99,10.28
2015,164,18.72,26.4,11.93,14.47,1.7,64.02,1.12,2.19,76.99,10.43
2015,165,18.97,26.84,12.12,14.72,1.58,63.69,1.4,2.56,76.99,10.38
2015,166,19.57,27.15,12.59,14.56,1.91,61.55,1.02,2.35,76.94,10.44
2015,167,19.08,26.48,12.31,14.17,2.03,64.49,1.01,2.52,76.92,10.71
2015,168,18.99,25.23,12.82,12.41,2.15,67.22,0.99,1.81,76.85,11.29
2015,169,18.94,24.6,13.69,10.91,3.21,64.54,1.25,2.81,76.93,11.0
2015,170,18.76,24.61,13.39,11.22,4.8,63.56,1.21,2.87,77.03,10.8
2015,171,18.7,25.93,12.67,13.26,0.99,62.83,1.49,2.8,77.07,10.36
2015,172,17.92,24.74,11.78,12.96,5.64,68.61,0.88,2.62,77.1,10.87
2015,173,16.34,20.02,13.75,6.27,14.32,79.84,2.17,3.94,77.15,11.81
2015,174,15.95,20.17,12.64,7.53,8.72,80.73,1.4,2.28,77.16,11.63
2015,175,15.93,20.42,12.8,7.62,17.52,83.88,1.08,2.15,77.17,12.11
2015,176,16.58,21.1,12.52,8.58,11.2,79.03,1.18,2.89,77.19,11.82
2015,177,16.51,21.98,11.58,10.4,8.96,80.0,1.43,2.62,77.16,11.88
2015,178,15.79,19.03,13.33,5.7,23.89,83.89,1.81,3.03,77.18,12.09
2015,179,15.78,20.23,12.45,7.78,9.68,84.37,1.53,2.98,77.2,12.08
2015,180,15.65,19.07,13.37,5.7,14.68,84.82,0.91,1.34,77.2,12.1
2015,181,16.06,20.78,11.66,9.12,4.47,80.11,1.68,3.04,77.14,11.61
2015,182,16.16,22.35,11.35,11.0,0.9,76.87,1.85,3.35,77.14,11.05
2015,183,16.41,22.66,11.41,11.25,0.38,74.72,1.77,3.71,77.17,10.86
2015,184,16.29,21.89,11.99,9.9,0.88,75.16,1.78,3.3,77.18,10.99
2015,185,16.61,22.65,11.89,10.76,0.61,73.01,1.78,3.57,77.19,10.8
2015,186,16.42,22.37,10.81,11.56,2.9,75.98,1.25,2.28,77.23,11.16
2015,187,17.08,23.24,10.38,12.86,2.22,70.82,1.32,2.57,77.22,10.74
2015,188,17.43,23.74,10.87,12.87,1.22,73.06,1.29,2.34,77.2,11.33
2015,189,18.17,23.93,12.72,11.21,0.91,68.57,1.51,2.89,77.09,11.24
2015,190,17.45,23.9,11.17,12.73,10.52,76.08,1.38,2.74,77.12,11.88
2015,191,17.22,21.26,13.09,8.17,13.17,78.77,0.91,2.04,77.13,12.34
2015,192,17.9,23.31,12.66,10.65,8.66,76.12,1.12,2.61,77.1,12.22
2015,193,17.1,22.31,12.15,10.16,5.1,77.83,1.19,2.57,77.07,11.98
2015,194,16.28,21.12,12.14,8.98,18.65,82.52,1.45,2.63,77.07,12.15
2015,195,15.49,18.78,12.37,6.41,3.09,79.74,1.23,2.3,77.1,11.25
2015,196,16.45,22.26,10.35,11.91,7.84,77.43,1.06,2.8,77.08,11.43
2015,197,16.15,21.06,12.74,8.32,21.63,82.08,1.33,3.09,77.09,12.03
2015,198,16.66,22.52,11.26,11.26,9.1,79.56,1.73,3.08,77.04,11.91
2015,199,16.65,21.7,13.01,8.69,17.74,79.82,1.3,2.0,77.04,12.04
2015,200,16.68,22.71,11.66,11.05,7.57,79.2,1.32,2.65,77.05,11.81
2015,201,16.48,21.44,12.04,9.4,11.68,81.18,0.98,3.01,76.98,12.12
2015,202,16.28,21.19,12.01,9.18,16.45,82.57,0.82,1.47,77.03,12.22
2015,203,16.62,21.49,12.16,9.33,5.87,80.41,1.15,2.88,77.09,12.06
2015,204,16.24,21.3,11.01,10.29,8.87,79.78,0.96,2.1,77.08,11.66
2015,205,16.18,21.58,10.83,10.75,13.32,78.19,1.23,2.04,77.09,11.43
2015,206,16.71,22.55,11.11,11.44,2.97,71.28,1.42,2.55,77.08,10.74
2015,207,17.31,22.8,11.7,11.1,1.31,72.72,1.06,1.82,77.03,11.45
2015,208,17.34,21.99,13.17,8.82,9.74,75.82,0.71,1.26,76.97,11.97
2015,209,16.49,21.28,11.89,9.39,6.13,79.65,1.17,2.3,76.98,11.91
2015,210,16.52,22.05,10.38,11.67,4.25,79.53,1.07,2.43,77.02,11.96
2015,211,15.84,20.04,11.83,8.21,11.34,83.26,1.14,2.57,77.04,12.01
2015,212,15.69,19.35,12.21,7.14,9.48,84.67,1.29,2.62,76.98,12.16
2015,213,15.37,19.39,11.57,7.82,9.67,84.72,1.25,3.13,77.05,11.87
2015,214,15.61,21.09,10.96,10.13,7.49,84.88,1.88,3.04,77.13,12.04
2015,215,15.97,21.06,12.58,8.48,23.46,84.73,1.58,2.55,77.04,12.32
2015,216,16.23,21.46,12.31,9.15,11.18,83.83,1.29,2.5,77.03,12.35
2015,217,16.28,20.83,12.9,7.93,19.73,82.94,1.09,3.09,77.06,12.27
2015,218,14.97,18.83,12.45,6.38,20.57,87.25,2.29,3.98,77.02,11.97
2015,219,15.31,19.81,11.01,8.8,16.0,86.77,1.51,3.07,76.98,12.16
2015,220,15.52,19.88,11.79,8.09,6.0,82.9,1.04,2.57,77.05,11.71
2015,221,16.74,21.82,12.78,9.04,2.47,78.72,0.84,1.76,77.04,11.95
2015,222,15.99,20.92,11.16,9.76,17.4,80.68,1.07,2.4,77.02,11.78
2015,223,16.35,21.64,11.47,10.17,2.71,80.38,1.28,2.85,77.07,11.95
2015,224,17.13,22.5,11.77,10.73,4.34,74.07,1.0,2.23,77.13,11.51
2015,225,16.7,21.68,11.13,10.55,15.56,76.62,1.12,2.15,77.13,11.61
2015,226,15.51,19.76,10.69,9.07,22.27,83.73,1.01,2.35,77.15,11.87
2015,227,14.6,17.66,11.64,6.02,11.91,86.71,1.07,1.88,77.14,11.62
2015,228,15.67,21.42,9.99,11.43,8.88,81.86,1.42,2.54,77.14,11.65
2015,229,16.25,21.22,12.21,9.01,3.05,81.74,1.31,3.24,77.07,12.02
2015,230,16.27,21.65,10.75,10.9,5.21,80.98,1.01,1.94,76.99,11.95
2015,231,15.74,19.78,12.46,7.32,15.58,84.65,1.14,1.67,76.96,12.32
2015,232,16.84,22.03,12.09,9.94,1.9,78.97,1.17,2.3,77.0,12.12
2015,233,16.76,21.81,12.54,9.27,5.53,81.01,1.27,2.48,76.99,12.42
2015,234,16.35,21.22,12.57,8.65,6.63,83.13,1.28,2.89,76.97,12.38
2015,235,16.11,21.34,10.93,10.41,2.34,81.16,1.16,2.59,77.0,11.91
2015,236,16.11,19.93,13.26,6.67,5.32,85.8,1.18,2.5,77.01,12.7
2015,237,15.82,20.23,12.78,7.45,6.8,85.78,1.36,3.14,77.02,12.39
2015,238,15.35,19.71,12.17,7.54,3.61,86.96,1.98,4.22,77.04,12.19
2015,239,15.92,20.41,11.96,8.45,2.81,81.4,1.16,2.17,77.07,11.77
2015,240,15.55,19.59,12.87,6.72,10.69,86.69,1.11,2.63,77.06,12.32
2015,241,16.23,20.72,12.65,8.07,5.22,82.97,0.7,1.55,77.06,12.26
2015,242,16.66,21.66,12.29,9.37,2.44,77.19,1.0,2.41,77.15,11.63
2015,243,15.86,19.06,12.12,6.94,5.4,78.11,1.02,2.0,77.15,11.43
2015,244,16.05,22.05,11.2,10.85,0.74,74.72,1.76,3.7,77.12,10.85
2015,245,16.28,22.26,11.02,11.24,0.53,77.7,2.03,3.83,77.11,11.41
2015,246,16.63,22.44,11.47,10.97,0.93,76.79,1.75,2.99,77.1,11.49
2015,247,16.99,22.08,12.7,9.38,3.4,75.81,1.5,2.78,77.1,11.77
2015,248,16.38,21.26,13.27,7.99,4.58,81.32,1.66,2.95,77.13,12.09
2015,249,16.97,21.89,12.53,9.36,2.16,78.1,1.0,1.96,77.13,12.04
2015,250,16.2,20.58,13.44,7.14,2.76,85.16,1.29,2.98,77.03,12.63
2015,251,15.76,20.06,12.7,7.36,9.58,85.93,1.44,3.0,76.95,12.42
2015,252,14.55,18.76,11.88,6.88,9.09,85.58,1.85,2.79,77.03,11.44
2015,253,15.89,20.26,11.96,8.3,1.67,80.39,0.96,2.21,77.09,11.61
2015,254,15.69,21.04,10.87,10.17,0.81,79.48,1.59,2.98,77.15,11.34
2015,255,16.15,21.65,11.01,10.64,0.54,79.52,1.16,1.62,77.1,11.67
2015,256,15.63,20.22,12.42,7.8,2.68,84.86,1.36,2.61,77.12,12.1
2015,257,15.81,20.24,11.69,8.55,2.91,83.26,0.97,2.21,77.19,11.93
2015,258,15.48,20.41,11.67,8.74,4.37,80.26,1.94,3.87,77.12,11.28
2015,259,15.77,21.79,10.28,11.51,0.33,75.51,1.74,3.0,77.08,10.87
2015,260,15.59,19.63,12.66,6.97,2.3,80.98,1.3,2.39,77.05,11.58
2015,261,16.3,21.74,11.78,9.96,1.67,79.77,1.63,2.91,77.11,11.79
2015,262,15.96,20.92,10.73,10.19,1.49,80.07,1.89,3.46,77.23,11.57
2015,263,16.79,22.33,12.09,10.24,0.45,75.43,1.6,2.96,77.18,11.39
2015,264,16.86,22.94,11.38,11.56,0.31,68.24,1.4,2.83,77.06,10.46
2015,265,15.57,21.16,10.15,11.01,1.7,80.8,1.31,2.47,77.04,11.44
2015,266,16.16,21.46,11.05,10.41,1.38,74.03,1.21,2.26,77.12,10.9
2015,267,15.59,21.31,10.05,11.26,5.05,75.17,1.58,2.58,77.1,10.69
2015,268,15.28,21.53,8.86,12.67,0.35,77.02,1.84,3.09,77.0,10.62
2015,269,14.94,20.52,9.89,10.63,0.74,81.2,1.5,2.5,76.99,10.97
2015,270,15.72,20.98,11.73,9.25,2.02,79.66,1.43,2.28,77.02,11.36
2015,271,15.87,21.48,11.12,10.36,3.69,78.89,1.22,2.11,77.04,11.35
2015,272,15.78,20.77,11.14,9.63,8.66,80.95,1.6,2.75,77.01,11.66
2015,273,15.06,21.93,9.28,12.65,0.22,73.18,2.52,4.57,76.97,9.92
2015,274,14.45,21.75,8.64,13.11,0.28,70.12,2.86,5.02,76.99,9.09
2015,275,14.62,21.33,10.01,11.32,0.13,72.69,3.39,6.12,77.09,9.46
2015,276,14.46,22.32,8.0,14.32,0.01,73.19,2.88,5.27,77.2,9.43
2015,277,14.71,22.21,8.35,13.86,0.02,69.41,2.67,4.72,77.23,8.96
2015,278,14.86,22.67,7.45,15.22,1.08,70.0,2.41,4.27,77.16,9.49
2015,279,16.11,22.96,11.31,11.65,3.95,75.63,1.97,3.5,77.08,10.88
2015,280,15.86,22.06,9.76,12.3,0.48,74.77,1.71,3.07,77.1,10.71
2015,281,16.04,23.39,9.41,13.98,0.27,67.29,2.28,4.21,77.1,9.61
2015,282,15.54,23.17,9.05,14.12,0.01,69.6,2.48,4.67,77.06,9.62
2015,283,15.58,23.21,8.3,14.91,0.02,72.07,2.09,3.99,77.04,9.99
2015,284,15.98,23.47,9.28,14.19,0.16,68.52,1.92,3.1,77.1,9.76
2015,285,16.16,23.75,8.75,15.0,0.03,68.22,1.81,2.99,77.18,9.74
2015,286,15.55,23.85,8.36,15.49,0.0,58.23,2.28,4.07,77.14,7.8
2015,287,14.98,23.44,8.02,15.42,0.0,58.64,2.61,4.24,77.07,7.66
2015,288,15.06,23.35,8.15,15.2,0.0,59.16,2.76,4.7,77.06,7.71
2015,289,14.88,23.25,8.18,15.07,0.0,58.97,2.74,4.71,77.05,7.6
2015,290,15.19,23.22,8.74,14.48,0.03,66.34,2.76,5.06,77.11,8.86
2015,291,13.73,18.72,8.38,10.34,0.33,74.85,2.56,5.4,77.18,9.33
2015,292,15.56,23.26,9.76,13.5,0.04,72.44,2.69,4.78,77.16,9.7
2015,293,15.73,23.95,8.89,15.06,0.03,70.78,2.7,4.89,77.07,9.69
2015,294,15.25,23.71,8.08,15.63,0.01,66.89,2.43,4.16,77.03,8.73
2015,295,15.26,23.51,8.52,14.99,0.0,62.81,2.38,4.09,77.04,8.29
2015,296,15.43,23.58,8.46,15.12,0.09,66.27,2.66,4.42,77.05,9.06
2015,297,14.95,23.99,8.01,15.98,0.0,63.47,2.73,4.55,77.06,8.18
2015,298,14.96,24.3,7.17,17.13,0.0,58.62,2.21,3.84,77.1,7.47
2015,299,16.22,24.71,9.05,15.66,0.0,62.91,1.81,2.95,77.1,9.01
2015,300,16.02,24.36,8.41,15.95,0.0,65.71,2.0,3.52,77.06,9.08
2015,301,15.78,23.76,8.4,15.36,0.17,68.91,1.98,3.59,76.93,9.57
2015,302,15.38,23.14,8.54,14.6,0.1,67.98,2.02,3.54,76.9,9.11
2015,303,15.7,24.01,7.91,16.1,0.17,71.49,2.23,3.68,76.97,9.9
2015,304,16.16,24.16,9.75,14.41,0.76,71.1,2.06,3.22,77.03,10.04
2015,305,16.22,24.49,8.81,15.68,1.8,73.53,2.05,3.43,76.99,10.52
2015,306,15.61,24.01,8.58,15.43,0.48,71.9,2.43,4.61,76.94,9.77
2015,307,16.1,24.78,8.43,16.35,0.87,71.15,1.77,2.72,76.98,9.95
